iter	Passed	Remaining
0	0	88
1	1	82
2	2	79
3	3	73
4	3	73
5	4	71
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	62
18	14	61
19	15	60
20	15	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	24	51
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	30	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	49	25
66	49	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
